Day,modern cre8ve - Previous Clicks,modern cre8ve - Current Clicks,modern cre8ve - Previous Impressions,modern cre8ve - Current Impressions,modern cre8ve - Previous CTR,modern cre8ve - Current CTR,modern cre8ve - Previous Position,modern cre8ve - Current Position,sophisticated custom furniture pieces - Previous Clicks,sophisticated custom furniture pieces - Current Clicks,sophisticated custom furniture pieces - Previous Impressions,sophisticated custom furniture pieces - Current Impressions,sophisticated custom furniture pieces - Previous CTR,sophisticated custom furniture pieces - Current CTR,sophisticated custom furniture pieces - Previous Position,sophisticated custom furniture pieces - Current Position,moderncre8ve - Previous Clicks,moderncre8ve - Current Clicks,moderncre8ve - Previous Impressions,moderncre8ve - Current Impressions,moderncre8ve - Previous CTR,moderncre8ve - Current CTR,moderncre8ve - Previous Position,moderncre8ve - Current Position,modern custom furniture designs - Previous Clicks,modern custom furniture designs - Current Clicks,modern custom furniture designs - Previous Impressions,modern custom furniture designs - Current Impressions,modern custom furniture designs - Previous CTR,modern custom furniture designs - Current CTR,modern custom furniture designs - Previous Position,modern custom furniture designs - Current Position,scandinavian furniture - Previous Clicks,scandinavian furniture - Current Clicks,scandinavian furniture - Previous Impressions,scandinavian furniture - Current Impressions,scandinavian furniture - Previous CTR,scandinavian furniture - Current CTR,scandinavian furniture - Previous Position,scandinavian furniture - Current Position
2025-11-30,0,1,1,3,0.00%,33.33%,1.00,1.00,7,,143,,4.90%,,2.40,,0,0,2,2,0.00%,0.00%,1.00,1.00,6,,146,,4.11%,,1.33,,0,0,74,32,0.00%,0.00%,14.80,54.63
2025-12-01,,1,,2,,50.00%,,1.00,6,,129,,4.65%,,2.35,,1,0,3,3,33.33%,0.00%,1.00,1.33,5,,134,,3.73%,,1.22,,0,0,39,24,0.00%,0.00%,20.23,35.00
2025-12-02,0,0,2,1,0.00%,0.00%,1.00,1.00,6,,168,,3.57%,,2.20,,5,,5,,100.00%,,1.00,,8,,171,,4.68%,,1.69,,0,0,28,14,0.00%,0.00%,25.82,28.43
2025-12-03,,4,,4,,100.00%,,1.00,5,,145,,3.45%,,2.95,,0,0,1,1,0.00%,0.00%,1.00,1.00,4,,145,,2.76%,,1.78,,0,0,35,9,0.00%,0.00%,20.09,31.56
2025-12-04,,0,,1,,0.00%,,1.00,7,,110,,6.36%,,4.18,,1,,1,,100.00%,,1.00,,3,,107,,2.80%,,1.64,,0,0,24,10,0.00%,0.00%,24.46,29.60
2025-12-05,,0,,8,,0.00%,,28.88,7,,165,,4.24%,,4.42,,,1,,11,,9.09%,,38.09,2,,129,,1.55%,,1.94,,1,0,16,15,6.25%,0.00%,43.25,28.67
2025-12-06,,0,,1,,0.00%,,1.00,4,,147,,2.72%,,5.13,,0,1,2,1,0.00%,100.00%,1.00,1.00,9,,145,,6.21%,,1.97,,0,0,20,17,0.00%,0.00%,33.75,28.88
2025-12-07,,2,,4,,50.00%,,1.00,11,,120,,9.17%,,4.98,,0,1,2,4,0.00%,25.00%,1.00,1.50,0,,129,,0.00%,,1.74,,0,0,24,26,0.00%,0.00%,28.58,25.08
2025-12-08,1,0,1,2,100.00%,0.00%,1.00,1.00,11,,105,,10.48%,,4.22,,0,0,1,1,0.00%,0.00%,1.00,1.00,4,,113,,3.54%,,1.81,,0,0,15,42,0.00%,0.00%,50.67,31.24
2025-12-09,,1,,1,,100.00%,,1.00,6,,100,,6.00%,,3.88,,0,,1,,0.00%,,1.00,,3,,102,,2.94%,,1.65,,0,0,11,27,0.00%,0.00%,49.45,27.07
2025-12-10,,,,,,,,,11,,131,,8.40%,,3.89,,2,2,2,2,100.00%,100.00%,1.00,1.00,3,,119,,2.52%,,1.44,,0,0,10,16,0.00%,0.00%,58.20,32.88
2025-12-11,,0,,1,,0.00%,,1.00,9,,124,,7.26%,,4.15,,1,,2,,50.00%,,1.00,,4,,101,,3.96%,,1.32,,0,0,9,9,0.00%,0.00%,47.44,28.44
2025-12-12,,1,,3,,33.33%,,1.00,0,,20,,0.00%,,3.70,,0,,2,,0.00%,,1.00,,1,,18,,5.56%,,1.44,,0,0,21,26,0.00%,0.00%,28.10,28.31
2025-12-13,,0,,6,,0.00%,,36.50,0,,7,,0.00%,,3.00,,1,0,1,14,100.00%,0.00%,1.00,43.00,0,,3,,0.00%,,1.33,,1,0,19,32,5.26%,0.00%,45.79,33.50
2025-12-14,,1,,2,,50.00%,,1.00,1,,6,,16.67%,,4.50,,2,,3,,66.67%,,1.00,,0,,1,,0.00%,,2.00,,0,0,22,22,0.00%,0.00%,28.50,33.91
2025-12-15,0,,1,,0.00%,,1.00,,0,,4,,0.00%,,3.50,,0,1,1,1,0.00%,100.00%,1.00,1.00,0,,5,,0.00%,,1.40,,0,0,17,28,0.00%,0.00%,22.41,31.21
2025-12-16,,,,,,,,,0,,5,,0.00%,,7.20,,1,2,2,3,50.00%,66.67%,1.00,1.00,1,,5,,20.00%,,2.60,,1,0,22,12,4.55%,0.00%,48.68,28.42
2025-12-17,,,,,,,,,0,,2,,0.00%,,4.00,,,0,,1,,0.00%,,1.00,0,,2,,0.00%,,1.50,,0,0,16,11,0.00%,0.00%,27.56,29.55
2025-12-18,,0,,1,,0.00%,,1.00,0,,1,,0.00%,,4.00,,1,,2,,50.00%,,1.00,,0,,3,,0.00%,,1.67,,0,0,9,16,0.00%,0.00%,66.56,32.63
2025-12-19,,1,,9,,11.11%,,30.11,1,,2,,50.00%,,6.00,,2,1,2,4,100.00%,25.00%,1.00,1.00,1,,5,,20.00%,,1.20,,0,0,11,31,0.00%,0.00%,72.27,45.45
2025-12-20,,,,,,,,,0,,3,,0.00%,,4.00,,,1,,9,,11.11%,,43.56,0,,3,,0.00%,,1.67,,0,0,10,32,0.00%,0.00%,71.90,43.38
2025-12-21,3,0,4,1,75.00%,0.00%,1.00,1.00,0,,3,,0.00%,,4.67,,1,0,4,3,25.00%,0.00%,1.00,1.00,0,,3,,0.00%,,3.00,,0,0,6,30,0.00%,0.00%,55.00,33.07
2025-12-22,,1,,2,,50.00%,,1.00,0,,4,,0.00%,,3.00,,,1,,2,,50.00%,,1.00,0,,5,,0.00%,,3.00,,0,0,9,24,0.00%,0.00%,57.78,36.08
2025-12-23,,1,,1,,100.00%,,1.00,0,,2,,0.00%,,2.00,,1,,2,,50.00%,,4.00,,0,,5,,0.00%,,2.80,,0,0,9,17,0.00%,0.00%,73.78,40.53
2025-12-24,0,,1,,0.00%,,1.00,,0,,5,,0.00%,,1.80,,1,,1,,100.00%,,1.00,,0,,3,,0.00%,,2.67,,0,0,5,9,0.00%,0.00%,67.40,28.22
2025-12-25,,1,,1,,100.00%,,1.00,0,,5,,0.00%,,1.00,,3,1,5,1,60.00%,100.00%,1.00,1.00,0,,6,,0.00%,,3.00,,0,0,8,14,0.00%,0.00%,71.25,37.57
2025-12-26,0,0,1,8,0.00%,0.00%,1.00,33.75,0,,4,,0.00%,,1.00,,1,0,2,10,50.00%,0.00%,1.00,41.40,0,,6,,0.00%,,2.83,,0,0,7,14,0.00%,0.00%,61.43,33.36
2025-12-27,1,1,2,1,50.00%,100.00%,1.00,1.00,0,,7,,0.00%,,1.00,,1,,2,,50.00%,,1.00,,0,,6,,0.00%,,2.17,,0,0,9,30,0.00%,0.00%,58.67,33.07
2025-12-28,,1,,2,,50.00%,,1.00,0,,9,,0.00%,,1.11,,3,,4,,75.00%,,1.00,,0,,5,,0.00%,,2.20,,1,0,11,26,9.09%,0.00%,54.45,33.23
2025-12-29,,,,,,,,,0,,7,,0.00%,,1.57,,3,,4,,75.00%,,1.00,,0,,4,,0.00%,,1.75,,0,0,4,23,0.00%,0.00%,63.25,29.13
2025-12-30,,2,,2,,100.00%,,1.00,0,,8,,0.00%,,1.63,,,1,,2,,50.00%,,1.00,0,,9,,0.00%,,1.22,,0,0,10,20,0.00%,0.00%,54.50,29.20
2025-12-31,,2,,2,,100.00%,,1.00,0,,7,,0.00%,,1.43,,0,0,1,1,0.00%,0.00%,1.00,1.00,1,,11,,9.09%,,1.45,,0,0,9,12,0.00%,0.00%,68.44,29.58
2026-01-01,,1,,2,,50.00%,,1.00,0,,2,,0.00%,,2.00,,0,,6,,0.00%,,1.00,,0,,1,,0.00%,,1.00,,1,0,9,14,11.11%,0.00%,46.67,29.43
2026-01-02,2,,4,,50.00%,,1.00,,,,,,,,,,1,,2,,50.00%,,1.00,,,,,,,,,,0,0,8,17,0.00%,0.00%,59.50,27.47
2026-01-03,1,0,1,7,100.00%,0.00%,1.00,8.86,,,,,,,,,3,4,6,6,50.00%,66.67%,1.00,1.00,,,,,,,,,0,0,11,28,0.00%,0.00%,74.91,30.36
2026-01-04,,1,,6,,16.67%,,10.50,,,,,,,,,0,2,1,3,0.00%,66.67%,1.00,1.00,,,,,,,,,0,0,9,22,0.00%,0.00%,64.56,31.64
2026-01-05,0,1,1,2,0.00%,50.00%,1.00,1.00,,,,,,,,,1,1,1,1,100.00%,100.00%,1.00,1.00,,,,,,,,,0,1,11,39,0.00%,2.56%,70.00,24.15
2026-01-06,0,0,1,1,0.00%,0.00%,1.00,1.00,,,,,,,,,2,0,6,20,33.33%,0.00%,1.00,24.70,,,,,,,,,0,1,5,121,0.00%,0.83%,72.80,19.18
2026-01-07,0,1,1,1,0.00%,100.00%,1.00,1.00,,,,,,,,,2,0,4,1,50.00%,0.00%,1.00,1.00,,,,,,,,,0,0,9,100,0.00%,0.00%,70.56,20.98
