query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
modern cre8ve,https://moderncre8ve.com/,DESKTOP,usa,6,16,0.375,1.1,2026-03-01,2026-03-08,/
moderncre8ve,https://moderncre8ve.com/,MOBILE,usa,5,13,0.3846,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,MOBILE,usa,4,9,0.4444,4.7,2026-03-01,2026-03-08,/
mid century modern dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,3,205,0.0146,9.4,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mid century modern dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,3,319,0.0094,9.2,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
moderncre8ve,https://moderncre8ve.com/,DESKTOP,usa,3,5,0.6,1.0,2026-03-01,2026-03-08,/
japandi mcm,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,MOBILE,usa,2,3,0.6667,4.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
modern cre8tive,https://moderncre8ve.com/,MOBILE,usa,2,5,0.4,1.0,2026-03-01,2026-03-08,/
scandinavian furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,2,262,0.0076,16.4,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,1,12,0.0833,2.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
best scandinavian furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,1,6,0.1667,5.7,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
boho bedframe,https://moderncre8ve.com/products/van-aiken-boho-bed-fram?variant=45605065752875,MOBILE,usa,1,10,0.1,2.9,2026-03-01,2026-03-08,/products/van-aiken-boho-bed-fram?variant=45605065752875
cleveland custom cabinets,https://moderncre8ve.com/pages/custom-kitchen-cabinets-cleveland,DESKTOP,usa,1,3,0.3333,3.0,2026-03-01,2026-03-08,/pages/custom-kitchen-cabinets-cleveland
cleveland modern furniture,https://moderncre8ve.com/collections/all-products,MOBILE,usa,1,6,0.1667,13.3,2026-03-01,2026-03-08,/collections/all-products
custom extension dining table,https://moderncre8ve.com/collections/custom-made-expandable-dining-tables,DESKTOP,usa,1,1,1.0,3.0,2026-03-01,2026-03-08,/collections/custom-made-expandable-dining-tables
danish dining table extendable,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,1,3,0.3333,3.3,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
dining table mid century modern,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,12,0.0833,12.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
handmade furniture near me,https://moderncre8ve.com/,MOBILE,usa,1,1,1.0,9.0,2026-03-01,2026-03-08,/
japandi mid century modern,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,MOBILE,lux,1,1,1.0,9.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
japandi table and chairs,https://moderncre8ve.com/collections/japandi,MOBILE,usa,1,1,1.0,41.0,2026-03-01,2026-03-08,/collections/japandi
mcm dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,84,0.0119,8.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mcm dining table extendable,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,1,6,0.1667,7.3,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mcm style couches,https://moderncre8ve.com/,MOBILE,usa,1,1,1.0,4.0,2026-03-01,2026-03-08,/
mid century japandi,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,DESKTOP,usa,1,2,0.5,2.5,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
mid century modern coffee table solid wood,https://moderncre8ve.com/collections/mid-century-modern-coffee-tables,MOBILE,usa,1,2,0.5,11.5,2026-03-01,2026-03-08,/collections/mid-century-modern-coffee-tables
mid century modern vs scandinavian,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,1,1,1.0,3.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
mid century scandinavian furniture,https://moderncre8ve.com/collections/all-products,MOBILE,usa,1,1,1.0,11.0,2026-03-01,2026-03-08,/collections/all-products
mid century scandinavian style,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,1,6,0.1667,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
mid modern century furniture,https://moderncre8ve.com/,MOBILE,usa,1,3,0.3333,1.7,2026-03-01,2026-03-08,/
midcentury japandi,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,DESKTOP,usa,1,1,1.0,2.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
modern cre8tive,https://moderncre8ve.com/,DESKTOP,usa,1,4,0.25,1.0,2026-03-01,2026-03-08,/
modern cre8tive,https://moderncre8ve.com/,MOBILE,jpn,1,1,1.0,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,DESKTOP,twn,1,1,1.0,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,MOBILE,col,1,1,1.0,1.0,2026-03-01,2026-03-08,/
