page_path,total_clicks,total_impressions,avg_position,avg_ctr,unique_queries,top_query,page_type,handle,sessions,engaged_sessions,bounce_rate,avg_session_duration,purchase_revenue,transactions,new_users,revenue_per_click,click_to_session_ratio,date_start,date_end
/,27,476,24.0,0.0331,177,modern cre8ve,homepage,homepage,14.0,5.0,0.6214285714285713,8.657142857142857,0.0,0.0,14.0,0.0,1.93,2026-03-01,2026-03-08
/collections/mid-century-modern-dining-tables,13,2571,19.3,0.0024,230,mid century modern dining table,collection,mid-century-modern-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,9,2286,15.4,0.0027,293,scandinavian furniture,blog,best-scandinavian-furniture-online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2026-03-01,2026-03-08
/collections/japandi-scandi-mid-century-modern-furniture,5,222,10.0,0.0257,63,japandi mcm,collection,japandi-scandi-mid-century-modern-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2026-03-01,2026-03-08
/collections/all-products,4,168,20.9,0.0203,33,cleveland modern furniture,collection,all-products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2026-03-01,2026-03-08
/products/scandinavian-dining-table-extendable-dining-table,4,550,16.5,0.0056,112,danish dining table extendable,product,scandinavian-dining-table-extendable-dining-table,1.0,1.0,0.0,42.6,0.0,0.0,0.0,0.0,4.0,2026-03-01,2026-03-08
/collections/scandinavian-design-furniture,2,854,27.8,0.0014,169,scandanavian design furniture,collection,scandinavian-design-furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2026-03-01,2026-03-08
/products/modern-round-extendable-dining-table-ohio,2,214,31.9,0.0041,43,round extendable dining table seats 8,product,modern-round-extendable-dining-table-ohio,1.0,1.0,0.0,36.4,0.0,0.0,0.0,0.0,2.0,2026-03-01,2026-03-08
/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,2,1347,11.0,0.0077,71,mid century modern vs scandinavian,blog,scandi-modern-furniture-style-differences-explained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2026-03-01,2026-03-08
/collections/custom-made-expandable-dining-tables,1,422,64.3,0.0052,147,custom extension dining table,collection,custom-made-expandable-dining-tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-01,2026-03-08
